Switchs;software;version;modelo;garantia;fabricante;pilha;IP
CAP-REITOR-SW-3600-BLOCO-C-0.82;comware;5.20.99;3600-24-EI;não;HP;1;172.16.0.82
CAP-REITOR-SW-3600-DDAR-C-0.90;comware;5.20.99;3600-24-EI;não;HP;1;172.16.0.90
CAP-REITOR-SW-4200-BLOCO-B-21.4;3com;v-3;4200-24;não;3com;1;192.168.21.4
CAP-REITOR-SW-4226-BLOCO-A-21.3;3com;v-3;4226-24;não;3com;1;192.168.21.3
CAP-REITOR-SW-4500-bloco-C--0.128;procurve;v-3-03;4500-24;lifetime;3com;1;172.16.0.128
CENTRAL-LICENCA-SW-1920-0.5;comware;5.20.99;1920-24-G;lifetime;HP;1;172.16.0.5
CENTRAL-LICENCA-SW-1920-01;comware;5.20.99;1920-24-G;lifetime;HP;1;172.16.0.1
CENTRAL-LICENCA-SW-1920-25;comware;5.20.99;1920-24-G;lifetime;HP;1;172.16.0.25
CENTRAL-LICENCA-SW-1920-26;comware;5.20.99;1920-24-G;lifetime;HP;1;172.16.0.26
CENTRAL-LICENCA-SW-1920-27;comware;5.20.99;1920-24-G;lifetime;HP;1;172.16.0.27
CSURB-SW-3600;comware;5.20.99;3600-24-EI;não;HP;1;172.22.12.2
DLU-SW-3600-0.33;comware;5.20.99;3600-24-EI;não;HP;2;172.16.0.33
EMLURB-SW-3600-BL-C-220;comware;5.20.99;3600-24-EI;não;HP;1;172.16.0.220
EMLURB-SW-4500-Auditorio-0.219;procurve;v-3;4200-24;lifetime;3com;1;172.16.0.219
EMLURB-SW-4500-BL-A-0.215;procurve;v-3;4500-48;lifetime;3com;3;172.16.0.215
EMLURB-SW-4500-BL-B-0.216;procurve;v-3;4200-48;lifetime;3com;2;172.16.0.216
EMLURB-SW-4500-BL-C-0.217;procurve;v-3;4500-48;lifetime;3com;1;172.16.0.217
EMLURB-SW-4500-BL-D-0.218;procurve;v-3;4500-24;lifetime;3com;1;172.16.0.218
EMLURB-SW-3600-BL-A-0.65;comware;5.20.99;3600-24-EI;não;HP;1;172.16.0.65
EMPREL-NOVA-SW-4500-2-ANDAR-0.222;procurve;v-3;4500-48;lifetime;3com;4;172.16.0.222
EMPREL-NOVA-SW-4500-2-ANDAR-0.223;procurve;v-3;4500-48;lifetime;3com;3;172.16.0.223
EMPREL-NOVA-SW-4500-3-ANDAR-0.180;procurve;v-3;4500-48;lifetime;3com;2;172.16.0.180
Emprel-nova-SW-5500-0.110;procurve;v-3;5500-24-EI;não;3com;1;172.16.0.110
EMPREL-SW-4500-BL-D.0.209;procurve;v-3;4500-48;lifetime;3com;1;172.16.0.209
EMPREL-SW-4500-BL-F-0.190;procurve;v-3;4500-48;lifetime;3com;1;172.16.0.190
EMPREL-SW-4500-BL-G-0.87;procurve;v-3;4500-24;lifetime;3com;1;172.16.0.87
EMPREL-SW-4500-BL-H-0.28;procurve;v-3;4500-24;lifetime;3com;1;172.16.0.28
EMPREL-SW-5500-BL-F-0.109;procurve;v-3;5500-24-G;não;3com;1;172.16.0.109
EMPREL-SW-7500-CHASSIS-BL-F-0.187;comware;5.20.105;7500-chassis;não;HP;1;172.16.0.187
EMPREL-PCR-OPERACAO-SW-4500-0.77;procurve;V-3;4500-48;lifetime;3com;1;172.16.0.77
ESC-ANT.BRITO.ALVES-SW-1920-0.13;comware;5.20.99;1920-24-G;lifetime;HP;1;172.16.0.13
ESC-ANT.FARIAS.F-SW-1920-0.12;comware;5.20.99;1920-24-G;lifetime;HP;1;172.16.0.12
ESC-H.GERDAU-SW-1920-0.10;comware;5.20.99;1920-24-G;lifetime;HP;1;172.16.0.10
ESC-PADRE-A.-HENRIQUE-SW-1920-0.11;comware;5.20.99;1920-24-G;lifetime;HP;1;172.16.0.11
ESC-REITOR-J.-ALFREDO-SW-1920-0.15;comware;5.20.99;1920-24-G;lifetime;HP;1;172.16.0.15
GERALDAO-SW-1920-0.72;comware;5.20.99;1920-24-G;lifetime;HP;1;172.16.0.72
GGCI-SW-1920-0.3;comware;5.20.99;1920-24-G;lifetime;HP;1;172.16.0.3
GIP-SW-3600-0.8;comware;5.20.99;3600-24-EI;lifetime;HP;1;172.16.0.8
GPCA-SW-4500-GPCA-0.63;procurve;v-3;4500-48;lifetime;HP;1;172.16.0.63
GTEC-SW-1920-0.86;comware;5.20.99;1920-24-G;lifetime;HP;1;172.16.0.86
GTEC-SW-3600-0.84;comware;5.20.99;3600-24-EI;não;HP;1;172.16.0.84
GUARDA-MUNICIPAL-SW-4500-0.64;procurve;v-3;4500-48;lifetime;3com;1;172.16.0.64
HOSP-HEL.MOURA-SW-1910-18;comware;5.20.99;1910-48;lifetime;HP;1;172.16.0.18
HOSP-OLHOS-SW-4500-22.5.4;procurve;v-3;4500-24;lifetime;3com;1;172.22.5.4
JULIAO-SW-3600-J.PAULO-0.45;comware;5.20.99;3600-24-EI;não;HP;1;172.16.0.45
PACO-FREVO-SW-1910-97-252;comware;5.20.99;1910-48;lifetime;HP;1;192.168.97.252
PAULO.FREIRE-SW-4500-38;procurve;v-3;4500-48;lifetime;3com;1;172.16.0.38
PAULO.FREIRE-SW-4500-38.253;procurve;v-3;4500-48;lifetime;3com;1;192.168.38.253
PCR-SW-1910-Protocolo-0.181;comware;5.20.99;1910-8-G;lifetime;HP;1;172.16.0.181
PCR-SW-1920-0.172;comware;5.20.99;1920-24-G;lifetime;HP;1;172.16.0.172
PCR-SW-3600-01-Andar-0.101;comware;5.20.99;3600-24-EI;não;HP;1;172.16.0.101
PCR-SW-3600-03-Andar-0.105;comware;5.20.99;3600-48-EI;não;HP;2;172.16.0.105
PCR-SW-3600-05-Andar-0.175;comware;5.20.99;3600-48-EI;não;HP;4;172.16.0.175
PCR-SW-3600-08-Andar-0.173;comware;5.20.99;3600-24-EI;não;HP;1;172.16.0.173
PCR-SW-3600-09-Andar-0.248;comware;5.20.99;3600-24-EI;não;HP;1;172.16.0.248
PCR-SW-3600-10-Andar-0.174;comware;5.20.99;3600-24-EI;não;HP;1;172.16.0.174
PCR-SW-3600-11-Andar-0.176;comware;5.20.99;3600-24-EI;não;HP;1;172.16.0.176
PCR-SW-3600-13-Andar-0.184;comware;5.20.99;3600-48-EI;não;HP;5;172.16.0.184
PCR-SW-3600-13-Andar-0.188;comware;5.20.99;3600-24-EI;não;HP;2;172.16.0.188
PCR-SW-3600-14-Andar-0.207;comware;5.20.99;3600-24-EI;não;HP;2;172.16.0.207
PCR-SW-3600-15-Andar-215.5;comware;5.20.99;3600-24-EI;não;HP;1;192.168.215.5
PCR-SW-3600-15-Andar-215.6;comware;5.20.99;3600-24-EI;não;HP;1;192.168.215.6
PCR-SW-3610-9-Andar-0.247;comware;5.20.99;3600-48-EI;não;HP;1;172.16.0.247
PCR-SW-4228-Anexo-217.253;3com;V-2;4228-24;não;3com;1;192.168.217.253
PCR-SW-4500-1-Andar-0.179;procurve;V-3;4500-48;lifetime;3com;1;172.16.0.179
PCR-SW-4500-10-Andar-0.211;procurve;V-3;4500.48;lifetime;3com;4;172.16.0.211
PCR-SW-4500-11-Andar-0.183;procurve;V-3;4500-48;lifetime;3com;3;172.16.0.183
